akul@node0:~$ cat strace.txt
49090 09:09:44.144718 --- SIGCHLD {si_signo=SIGCHLD, si_code=CLD_EXITED, si_pid=49689, si_uid=20001, si_status=0, si_utime=43, si_stime=14} ---
49090 09:09:44.146285 munmap(0x7f4ff8ffb000, 50352128) = 0 <0.002604>
49090 09:09:44.149422 munmap(0x7f4fa3ff6000, 201347072) = 0 <0.008218>
49726 09:09:44.160452 brk(NULL)         = 0x55bde068c000 <0.000011>
49726 09:09:44.164237 mmap(0x7f18899fa000, 8192, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x2000) = 0x7f18899fa000 <0.000013>
49726 09:09:44.164267 mmap(0x7f18899fc000, 4096, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x4000) = 0x7f18899fc000 <0.000011>
49726 09:09:44.164296 mmap(0x7f18899fd000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x5000) = 0x7f18899fd000 <0.000011>
49726 09:09:44.164416 mmap(NULL, 1212016, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f18898d0000 <0.000009>
49726 09:09:44.164442 mmap(0x7f18898e2000, 864256, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x12000) = 0x7f18898e2000 <0.000012>
49726 09:09:44.164469 mmap(0x7f18899b5000, 249856, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0xe5000) = 0x7f18899b5000 <0.000010>
49726 09:09:44.164494 mmap(0x7f18899f2000, 20480, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x121000) = 0x7f18899f2000 <0.000010>
49726 09:09:44.164531 mmap(0x7f18899f7000, 3696, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f18899f7000 <0.000009>
49726 09:09:44.164638 mmap(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7f18898ce000 <0.000009>
49726 09:09:44.164666 mmap(NULL, 192992, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f188989e000 <0.000009>
49726 09:09:44.164690 mprotect(0x7f18898a6000, 155648, PROT_NONE) = 0 <0.000010>
49726 09:09:44.164721 mmap(0x7f18898a6000, 110592, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x8000) = 0x7f18898a6000 <0.000010>
49726 09:09:44.164747 mmap(0x7f18898c1000, 40960, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x23000) = 0x7f18898c1000 <0.000009>
49726 09:09:44.164772 mmap(0x7f18898cc000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x2d000) = 0x7f18898cc000 <0.000009>
49726 09:09:44.164882 mmap(NULL, 225472, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f1889866000 <0.000010>
49726 09:09:44.164907 mprotect(0x7f188986f000, 184320, PROT_NONE) = 0 <0.000010>
49726 09:09:44.164933 mmap(0x7f188986f000, 135168, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x9000) = 0x7f188986f000 <0.000010>
49726 09:09:44.164958 mmap(0x7f1889890000, 45056, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x2a000) = 0x7f1889890000 <0.000010>
49726 09:09:44.164984 mmap(0x7f188989c000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x35000) = 0x7f188989c000 <0.000009>
49726 09:09:44.165101 mmap(NULL, 69816, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f1889854000 <0.000010>
49726 09:09:44.165128 mprotect(0x7f1889859000, 45056, PROT_NONE) = 0 <0.000010>
49726 09:09:44.165153 mmap(0x7f1889859000, 32768, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x5000) = 0x7f1889859000 <0.000010>
